carrera,carrera_grupo,Carrera_normalizada
Licenciatura en Tecnologias Digitales para la Educación - Ciclo de Complementacion Curricular - MD,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Magister de la Universidad de Buenos Aires, area Enseñanza Agricola y Biologica",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Didactica de la Musica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Didactica de las Ciencias Experimentales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Didactica de las Lenguas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Educación en Ciencias,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Educación en Ciencias de la Salud,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Educación en Ciencias Experimentales y Tecnologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Educación en Entornos Virtuales - MD,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Educación Medica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Enseñanza de la Fisica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Enseñanza de las Ciencias area Fisica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Enseñanza de las Ciencias Exactas y Naturales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Enseñanza de las Ciencias Experimentales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Enseñanza de Matematica Superíor,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Magister en Formacion Investigativa en Ciencias de la Salud,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Antropología,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Armonia, Contrapunto y Morfologia Musical",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Arte en Artes Visuales Mencion Artes del Fuego para el Nivel Inicial, EGB I Y II",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes Dramaticas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Artes Visuales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Artes Visuales Orientación Artes del Fuego,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Artes en Artes Visuales para el Nivel Inicial, EGB I y II",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Danza,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Artes en Danza con Mencion en Expresion Corporal para el Nivel Inicial, EGB I y II",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Artes en Danza Mencion Danzas Folkloricas y Tango para el Nivel Inicial, EGB I y II",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Danza Mencion en Danzas Folkloricas y Tango,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Danza Mencion en Expresion Corporal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Artes en Danza para el Nivel Inicial, EGB I y II",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Folklore Mencion Instrumentos Críollos,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Musica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Artes en Musica para el Nivel Inicial, EGB I y II",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes en Teatro,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Artes en Teatro para el Nivel Inicial, EGB I y II",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Artes Visuales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Bibliotecologia y Ciencia de la Información,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Biologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Catequesis,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Ciencias Biologicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Ciencias Fisicas para Nivel Medio,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Ciencias Sociales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Computación,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Comunicacion Social,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Danza Contemporanea,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Media en Tecnologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Media y Superíor en Tecnologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Musical,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Canto,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Contrabajo,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Fagot,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Flauta,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Guitarra,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Oboe,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Percusion,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Piano,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Piano - Musica de Camara y Repertorío Vocal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Saxofon,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Viola,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Educación Superíor en Musica: Violin,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza de Nivel Medio y Superíor en Biologia - Ciclo de Profesorado - MD,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza de Nivel Medio y Superíor en Fisica - Ciclo de Profesorado - MD,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza de Nivel Medio y Superíor en Matematica - Ciclo de Profesorado - MD,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza de Nivel Medio y Superíor en Química - Ciclo de Profesorado - MD,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Artes,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Artes (Orientación Artes Combinadas),Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Artes (Orientación Artes Plasticas),Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Artes (Orientación Musica),Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Bibliotecologia y Ciencia de la Información,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencia Politica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencias Antropologicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencias Biologicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencias de la Atmosfera,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencias de la Computación,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencias de la Comunicacion Social,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencias Economicas - Ciclo de Complementacion Curricular,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Ciencias Geologicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Filosofia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Filosofia y Pedagogia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Fisica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Geografia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Historia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en la especialidad Biologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Lengua y Literatura Inglesa,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Letras,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Matematica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Matematica y Computación,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Psicologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Química,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Relaciones del Trabajo,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Enseñanza Media y Superíor en Trabajo Social,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Enseñanza Secundaria, Normal y Especial en Sociologia",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Filosofia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Fisica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Fisica y Química,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Flauta Traversa,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Frances,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Geografia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Geografia para el Tercer Ciclo de la Educación General Basica y Educación Polimodal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria de Ceramica Artistica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria de Historia del Arte,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria de Teorias Musicales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Administración - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Arquitectura - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Artes Visuales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Ciencia Politica - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Ciencias Basicas con Orientación en Biologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Ciencias Basicas con Orientación en Fisica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Ciencias Basicas con Orientación en Matematica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Ciencias Basicas con Orientación en Química,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Comunicacion Social - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Danza - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Diseño - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Escenografia - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Filosofia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Geografia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Historia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Lengua y Cultura Inglesas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Lengua y Cultura Italianas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Lengua y Literatura,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Lengua y Literatura Francesas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Musica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Musica - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Portugues,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Química,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Relaciones Internacionales - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Teatro,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Grado Universitaria en Trabajo Social - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Guitarra,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Historia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Informática para Enseñanza Media,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Ingles,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Ingles para el Tercer Ciclo de la Educación General Basica, la Educación Polimodal y el Nivel Superíor",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Ingles para Enseñanza General Basica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Lengua Alemana,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Lengua Castellana para el Tercer Ciclo de la Educación General Basica y Educación Polimodal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Lengua Francesa,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Lengua Inglesa,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Lengua Inglesa para el Tercer Ciclo de la Educación General Basica y Educación Polimodal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Lengua Italiana,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Letras,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Letras para el Tercer Ciclo de la Educación General Basica y Educación Polimodal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Matematica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Matematica para el Tercer Ciclo de la Educación General Basica y Educación Polimodal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Canto,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Clarinete,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Composicion,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Contrabajo,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Direccion Coral,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Direccion Orquestal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Educación Musical,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Flauta,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Guitarra,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Percusion,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Piano,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Saxo,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Violin,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientación en Violonchelo,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica con Orientaciónes,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica en la Enseñanza General Basica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Musica Orientación Direccion Orquestal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Musica, Orientación Composicion",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor de Musica, Orientación Educación Musical",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Nivel Medio y Superíor en Biologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Nivel Medio y Superíor en Ciencias Naturales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Nivel Medio y Superíor en Economía,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Nivel Medio y Superíor en Fisica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Nivel Medio y Superíor en Química,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Nivel Medio y Superíor en Teatro,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Nivel Superíor en Biologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Pedagogia - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Piano,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Portugues,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Psicologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Química,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Química de Nivel Superíor,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Química para la Enseñanza Media y Superíor,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Saxofon,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Sociologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Teatro,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Tecnologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Tercer Ciclo de la E.G.B. y de la Educación Polimodal en Química,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Tercer Ciclo de la Educación General Basica y Educación Polimodal en Historia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Tercer Ciclo de la Educación General Basica y Educación Polimodal en Matematica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Tercer Ciclo de la Enseñanza General Basica y de la Educación Polimodal en Matematica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor de Violin,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Antropología,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Armonia, Contrapunto y Morfologia Musical",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Arpa,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Arte con Orientación en Lenguaje Musical,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Artes Audiovisuales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Artes Plasticas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Artes Plasticas - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Plasticas, con Orientación en Ceramica",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Plasticas, con Orientación en Dibujo",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Plasticas, con Orientación en Escenografia",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Plasticas, con Orientación en Grabado y Arte Impreso",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Plasticas, con Orientación en Muralismo y Arte Publico Monumental",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Plasticas, con Orientación en Pintura",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Plasticas, Orientación Escultura",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Artes Visuales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Artes Visuales para Educación Inicial, PriMaría, Media",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Bellas Artes,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Bibliotecologia y Ciencia de la Información,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Bibliotecologia y Documentacion,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Biologia,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Canto,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Canto Lirico,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencia Politica y Administración Publica - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Agropecuarias,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Biologicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias de la Computación,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias de la Religion,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Economicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Economicas - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Juridicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Juridicas - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Ciencias Juridicas, Politicas y Sociales",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Medicas,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Naturales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Naturales para el Tercer Ciclo de Enseñanza General Basica y Educación Polimodal,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Químicas y del Ambiente,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Químicas y del Medio Ambiente,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Ciencias Sociales,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Cinematografia, Orientación Compaginacion",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Cinematografia, Orientación Direccion",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Cinematografia, Orientación Escenografia y Vestuarío",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Cinematografia, Orientación Guion",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Cinematografia, Orientación Iluminacion y Camara",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Cinematografia, Orientación Produccion",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Clarinete,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Composicion,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Composicion Musical,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Computación,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Computación - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Comunicacion Audiovisual,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Comunicacion Social,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Comunicacion Social - Ciclo de Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
"Profesor en Comunicacion Visual, Orientación Artes Visuales",Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Conjuntos Instrumentales y de Camara,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Contabilidad,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Contabilidad - Ciclo Profesorado,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Contabilidad y Administración (Nivel Secundarío y Superíor),Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Contabilidad y Administración (Nivel Secundarío),Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Contrabajo,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Corno,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Direccion Coral,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Diseño en Comunicacion Visual,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Diseño Industrial,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Diseño Multimedial,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Economía,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Economía para la Enseñanza Secundaria,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Economía y Gestión de las Organizaciones,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Educación Musical,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Educación para la Salud,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Educación Secundaria en Ciencias de la Administración,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor En Educación Secundaria y Superíor en Ciencias de la Administración,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
Profesor en Educación Tecnológica,Educacion,Formacion Docente para el nivel medio y/o superior Universitario y no
